小節,拍數(onset),調性,和弦級數,和弦編號,備註
62,0,g,G:min,32,NaN
63,0,g,G:min,32,NaN
64,0,g,A:7,22,second
65,0,g,G:min,32,NaN
65,0,d,G:min,32,NaN
66,0,d,A:7,22,NaN
67,0,d,D:min,27,NaN
68,0,d,D:min,27,NaN
69,0,d,D:min,27,NaN
69,0,a,D:min,27,NaN
70,0,a,E:7,17,NaN
71,0,a,D:min,27,NaN
72,0,a,E:7,17,NaN
73,0,a,A:min,34,NaN
74,0,a,A:min,34,NaN
74,2,a,E:maj,5,NaN
75,0,g,G:min,32,NaN
76,0,g,C#:dim7,38,second
76,2,g,D:maj,3,NaN
77,0,a,B:dim7,48,second
77,2,a,C:maj,1,NaN
78,0,a,G:dim7,44,NaN
78,2,a,A:min,34,NaN
79,0,a,D#:dim7,40,second
80,0,a,D#:dim7,40,second
81,0,a,D#:dim7,40,second
81,2,a,A:min,34,NaN
81,3,a,E:7,17,NaN
82,0,a,A:min,34,NaN
83,0,a,A:min,34,NaN
83,1,a,F:maj,6,NaN
83,2,a,B:dim,48,NaN
83,3,a,E:maj,5,NaN
84,0,a,A:min,34,NaN
85,0,a,A:min,34,NaN
85,1,a,F:maj,6,NaN
85,2,a,B:dim,48,NaN
85,3,a,E:maj,5,NaN
86,0,a,A:min,34,NaN
87,0,a,A:min,34,NaN
88,0,a,A:min,34,NaN
88,0,C,A:min,34,NaN
89,0,C,A:min,34,NaN
90,0,C,G:maj,8,NaN
91,0,C,G:maj,8,NaN
92,0,C,G:7,20,NaN
93,0,C,G:7,20,NaN
94,0,C,C:maj,1,NaN
95,0,C,C:maj,1,NaN
96,0,C,C:maj,1,NaN
96,2,C,A:7,22,second
97,0,C,D:min,27,NaN
97,2,C,G:maj,8,NaN
98,0,C,C:maj,1,NaN
99,0,C,D:min,27,NaN
100,0,C,D:min,27,NaN
100,2,C,C:maj,1,NaN
100,3,C,G:7,20,NaN
101,0,C/c,C:min,25,borrowed:c
102,0,C/c,C:min,25,borrowed:c
103,0,C,C:maj,1,NaN
103,2,C/c,C:min,25,borrowed:c
104,0,c,G:7,20,NaN
104,2,c,G:maj,8,NaN
105,0,c,E:dim7,41,second
106,0,c,F:min,30,NaN
107,0,c,G:7,20,special: Ger
108,0,c,G:maj,8,NaN
109,0,c,G:maj,8,NaN
110,0,C,F:maj,6,NaN
110,2,C,F:maj,6,NaN
111,0,C,C:maj,1,NaN
111,2,C,C:maj,1,NaN
112,0,C,F:maj,6,NaN
112,1,C,D:min,27,NaN
112,2,C,C:maj,1,NaN
112,3,C,G:maj,8,NaN
113,0,C,F:maj,6,NaN
113,2,C,F:maj,6,NaN
114,0,C,C:maj,1,NaN
114,2,C,C:maj,1,NaN
115,0,C,F:maj,6,NaN
115,1,C,D:min,27,NaN
115,2,C,C:maj,1,NaN
115,3,C,G:maj,8,NaN
116,0,C,C:maj,1,NaN
117,0,C,C:maj,1,NaN
118,0,C,G:maj,8,NaN
119,0,C,G:maj,8,NaN
120,0,C,D:maj,3,second
121,0,C,D:maj,3,second
122,0,C,G:maj,8,NaN
123,0,C,C:maj,1,NaN
124,0,C,G:maj,8,NaN
125,0,C,G:maj,8,NaN
126,0,C,G:maj,8,NaN
127,0,C,G:maj,8,NaN
128,0,C,G:maj,8,NaN
129,0,C,C:maj,1,NaN
130,0,C,G:maj,8,NaN
131,0,C,C:maj,1,NaN
131,2,C,G:maj,8,NaN
132,0,C,C:maj,1,NaN
132,1,C,F#:dim,43,second
132,2,C,G:maj,8,NaN
133,0,C,C:maj,1,NaN
133,2,C,C:maj,1,NaN
134,0,C,G:maj,8,NaN
134,2,C,G:7,20,NaN
135,0,C,C:maj,1,NaN
135,2,C,G:maj,8,NaN
136,0,C,C:maj,1,NaN
136,1,C,F#:dim,43,second
136,2,C,G:maj,8,NaN
137,0,C,C:maj,1,NaN
138,0,C,F:maj,6,NaN
139,0,C,C:maj,1,NaN
139,2,C,G:7,20,NaN
140,0,C,C:maj,1,NaN
141,0,C,F:maj,6,NaN
142,0,C,C:maj,1,NaN
143,0,C,C:maj,1,NaN
144,0,C,C#:dim7,38,second
145,0,C,D:min,27,NaN
146,0,C,C:maj,1,NaN
147,0,C,G:7,20,NaN
148,0,C,C:maj,1,NaN
148,1,C,C:maj,1,NaN
149,0,C,C:maj,1,NaN
149,1,C,A:min,34,NaN
149,2,C,D:min,27,NaN
149,3,C,G:maj,8,NaN
150,0,C,C:maj,1,NaN
150,3,C,G:maj,8,NaN
151,0,C,C:maj,1,NaN
151,1,C,A:min,34,NaN
151,2,C,D:min,27,NaN
151,3,C,G:maj,8,NaN
152,0,C,C:maj,1,NaN
153,0,C,C:maj,1,NaN
153,3,C,G:7,20,NaN
154,0,C,C:maj,1,NaN
154,1,C,G:7,20,NaN
154,2,C,C:maj,1,NaN
154,3,C,G:7,20,NaN
155,0,C,C:maj,1,NaN
